number,ini_velX,ini_velY,ini_velZ,ini_posX,ini_posY,ini_posZ,trialID,_isCorrect,ponPosX,ponPosY,ponPosZ,timeSinceEngineStart,camID,camShelf_h,camShelf_num,camPosX,camPosY,camPosZ,1targetX,1targetX,1targetX,1targetX,1targetX,1targetX,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2151.147,-17596.13,3.804212,3.230419,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2125.65,-17636.13,3.804212,3.249258,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2100.152,-17676.85,3.804212,3.268413,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2074.654,-17718.28,3.804212,3.287536,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2049.156,-17760.42,3.804212,3.306901,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,2023.658,-17803.28,3.804212,3.327997,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,1998.16,-17846.86,3.804212,3.347592,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,1972.662,-17891.14,3.804212,3.366655,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,1947.164,-17936.15,3.804212,3.385818,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
0,7,0,0,0,3.1,1.2,ef80825909de4c6480771117101bd3fc,False,1921.666,-17981.86,3.804212,3.405091,2,7,12,16.7,95.85001,5.004212,1574.862,-18641.89,3.804213,1210.607,-18641.89,3.804213,
